"","#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"133",133,"Eswatini","18,653","","673","","17,903","","77","9","15,925","575","213,360","182,154","1,171,319","Africa","63","1,740",5,NA,NA,"66"
"134",134,"Guyana","17,665","","409","","15,374","","1,882","20","22,358","518","161,186","204,012","790,082","South America","45","1,932",5,NA,NA,"2,382"
"135",135,"Suriname","16,541","","350","","12,518","","3,673","34","27,964","592","66,245","111,992","591,515","South America","36","1,690",9,NA,NA,"6,209"
"136",136,"Guadeloupe","16,530","","221","","2,250","","14,059","29","41,306","552","201,479","503,461","400,188","North America","24","1,811",2,NA,NA,"35,131"
"137",137,"Papua New Guinea","16,374","+47","164","","15,659","+18","551","7","1,799","18","117,373","12,892","9,103,995","Australia/Oceania","556","55,512",78,5,NA,"61"
"138",138,"Haiti","15,754","+150","330","+2","12,557","+5","2,867","","1,366","29","71,047","6,161","11,531,538","North America","732","34,944",162,13,0.2,"249"
"139",139,"Somalia","14,768","+20","773","","6,964","+21","7,031","","906","47","136,782","8,390","16,302,721","Africa","1,104","21,090",119,1,NA,"431"
"140",140,"Mali","14,302","+4","519","","9,880","+7","3,903","","688","25","301,621","14,508","20,789,354","Africa","1,454","40,057",69,0.2,NA,"188"
"141",141,"Andorra","13,777","+19","127","","13,557","+30","93","3","178,043","1,641","193,595","2,501,874","77,380","Europe","6","609",0,246,NA,"1,202"
"142",142,"Togo","13,539","","125","","13,249","","165","","1,601","15","340,483","40,255","8,458,174","Africa","625","67,665",25,NA,NA,"20"
"143",143,"Burkina Faso","13,453","","167","","13,265","","21","","628","8","190,723","8,899","21,432,708","Africa","1,593","128,340",112,NA,NA,"1.0"
"144",144,"Tajikistan","13,308","","90","","13,218","","0","","1,367","9","","","9,735,833","Asia","732","108,176",NA,NA,NA,""
"145",145,"Belize","12,861","","325","","12,439","","97","2","31,809","804","136,449","337,482","404,315","North America","31","1,244",3,NA,NA,"240"
"146",146,"Curaçao","12,279","","123","","12,137","","19","4","74,546","747","113,243","687,500","164,717","North America","13","1,339",1,NA,NA,"115"
"147",147,"Seychelles","12,158","","42","","10,883","","1,233","","122,916","425","21,504","217,403","98,913","Africa","8","2,355",5,NA,NA,"12,465"
"148",148,"Martinique","12,040","","95","","98","","11,847","8","32,107","253","182,468","486,589","374,994","North America","31","3,947",2,NA,NA,"31,593"
"149",149,"Bahamas","11,930","","232","","10,932","","766","5","30,071","585","98,894","249,270","396,734","North America","33","1,710",4,NA,NA,"1,931"
"150",150,"Congo","11,920","","155","","10,591","","1,174","","2,112","27","148,855","26,376","5,643,656","Africa","473","36,411",38,NA,NA,"208"
"151",151,"Hong Kong","11,866","+7","210","","11,584","","72","1","1,571","28","16,710,131","2,212,238","7,553,497","Asia","637","35,969",0,0.9,NA,"10"
"152",152,"Djibouti","11,565","+3","154","","11,389","+4","22","","11,550","154","161,876","161,662","1,001,325","Africa","87","6,502",6,3,NA,"22"
"153",153,"Taiwan","11,491","+214","286","+26","1,133","","10,072","","482","12","1,145,020","47,995","23,856,896","Asia","2,076","83,416",21,9,1,"422"
"154",154,"Aruba","11,057","","107","","10,886","","64","14","103,155","998","168,353","1,570,633","107,188","North America","10","1,002",1,NA,NA,"597"
"155",155,"Lesotho","10,837","","326","","6,437","","4,074","","5,022","151","94,973","44,009","2,158,030","Africa","199","6,620",23,NA,NA,"1,888"
"156",156,"South Sudan","10,688","","115","","10,514","","59","","945","10","164,472","14,535","11,315,543","Africa","1,059","98,396",69,NA,NA,"5"
"157",157,"Vietnam","8,983","+236","53","","3,509","+141","5,421","","92","0.5","4,941,514","50,345","98,152,177","Asia","10,926","1,851,928",20,2,NA,"55"
"158",158,"Equatorial Guinea","8,626","","118","","8,203","","305","7","5,968","82","123,169","85,210","1,445,484","Africa","168","12,250",12,NA,NA,"211"
"159",159,"Benin","8,082","","102","","7,893","","87","5","651","8","604,310","48,669","12,416,618","Africa","1,536","121,732",21,NA,NA,"7"
"160",160,"Timor-Leste","7,740","","17","","5,321","","2,402","","5,769","13","92,122","68,661","1,341,702","Asia","173","78,924",15,NA,NA,"1,790"
